Date,Open,High,Low,Close,Volume
3-Nov-17,2632.4,2636.7,2602.8,2620.1,333443
6-Nov-17,2620,2671.8,2611.75,2665.55,688500
7-Nov-17,2670,2768,2666.05,2710.05,1348446
8-Nov-17,2723,2759,2718.25,2735,701126
9-Nov-17,2750,2750,2719.3,2736.4,576216
10-Nov-17,2722.2,2726,2693.35,2708.75,678283
13-Nov-17,2702.05,2777.4,2702.05,2758.95,748498
14-Nov-17,2756.55,2756.55,2707.5,2714.6,828626
15-Nov-17,2706,2755,2701.35,2705.3,3335417
16-Nov-17,2710,2763,2686.95,2746.65,826741
17-Nov-17,2748.1,2748.1,2703.6,2707.3,662732
20-Nov-17,2715,2726.9,2695.3,2703.45,507249
21-Nov-17,2701,2701,2666,2672.95,763870
22-Nov-17,2673,2709.7,2672.4,2680.65,911312
23-Nov-17,2681,2693,2669,2681.25,396735
24-Nov-17,2682,2702.9,2673.1,2688.05,1143756
27-Nov-17,2688,2695.9,2662.2,2685.85,928393
28-Nov-17,2686,2702.4,2670,2685.3,455858
29-Nov-17,2677.5,2693,2650,2658.15,723766
30-Nov-17,2653.65,2666.95,2623,2637,2149981
1-Dec-17,2635,2668,2621.5,2629.95,515572
4-Dec-17,2622,2658.5,2602.95,2632.35,629552
5-Dec-17,2631,2651.7,2628.15,2635.55,583957
6-Dec-17,2636,2645,2612.85,2633.3,703759
7-Dec-17,2632.3,2645.95,2615,2617.25,663150
8-Dec-17,2618,2645,2597,2601.5,692774
11-Dec-17,2608.35,2672.65,2608.35,2661.1,504001
12-Dec-17,2661,2662,2607.4,2612.15,941123
13-Dec-17,2611.4,2651.45,2601,2628.4,1480729
14-Dec-17,2632,2632,2531.1,2557.8,2752075
15-Dec-17,2563.75,2584.45,2536.85,2545.6,1359069
18-Dec-17,2537,2588.95,2494.35,2580.5,1090332
19-Dec-17,2576,2597.8,2564.7,2575.3,900976
20-Dec-17,2582,2592.75,2550.65,2588.95,788785
21-Dec-17,2587,2608,2580.05,2595.7,646824
22-Dec-17,2604,2663.9,2590.2,2646.75,1832832
26-Dec-17,2686,2689.75,2631.6,2649.45,1087893
27-Dec-17,2649.45,2658.5,2610.5,2619.9,369642
28-Dec-17,2608.8,2653.5,2605.65,2626.95,1302544
29-Dec-17,2623.1,2708.9,2618.55,2701.2,1304771
1-Jan-18,2682.3,2694.8,2635,2645.6,675880
2-Jan-18,2660,2669.6,2620.2,2631.2,960145
3-Jan-18,2632,2669,2631.2,2638.65,628560
4-Jan-18,2650,2662,2640,2657.1,456541
5-Jan-18,2650,2699.5,2650,2689.2,576853
8-Jan-18,2700,2726.85,2681.85,2714.4,621110
9-Jan-18,2715,2721,2676.55,2709,1074698
10-Jan-18,2711,2816,2694.65,2806.6,1682925
11-Jan-18,2810,2821.9,2782.2,2790.5,1260524
12-Jan-18,2805,2805,2740.55,2776.35,1680157
15-Jan-18,2777.15,2808,2735.05,2746.1,728607
16-Jan-18,2756,2861.65,2750.55,2850.85,2133876
17-Jan-18,2870,2925,2862.15,2888.95,2140403
18-Jan-18,2897,2933,2868.05,2918.2,1104739
19-Jan-18,2930.55,2982,2903.65,2959.3,910000
22-Jan-18,2961,3134.7,2922,3116.4,2183555
23-Jan-18,3114.95,3142.35,3090.05,3102,1619805
24-Jan-18,3090,3259.05,3082.65,3174.6,2810769
25-Jan-18,3175,3179.8,3081,3121.05,1916922
29-Jan-18,3131.4,3225,3122,3198.85,1570530
30-Jan-18,3180,3203.8,3143.7,3152.85,787379
31-Jan-18,3137,3150,3098.6,3112.35,1521607
1-Feb-18,3124,3190,3088.8,3138.6,1200315
2-Feb-18,3120,3190,3103.45,3153.65,1228245
5-Feb-18,3110,3188,3076.85,3103.2,1378871
6-Feb-18,3010,3077.15,2985,2997.25,1328653
7-Feb-18,3027,3031,2947.45,2955.05,1090162
8-Feb-18,2979.75,3027.6,2959,2974.2,1377502
9-Feb-18,2950,2994,2896.65,2971.7,1051229
12-Feb-18,2978.3,3023.35,2955.55,2967.3,987281
14-Feb-18,2970,2974.45,2892.5,2911.8,1423766
15-Feb-18,2931.95,2943,2905.1,2925.85,1232618
16-Feb-18,2923,2999.6,2923,2933.05,1257878
19-Feb-18,2945,2953.3,2895.2,2923.6,784112
20-Feb-18,2928,2985.05,2927.9,2944.75,944534
21-Feb-18,2974,3062.6,2960.05,3042.3,1544614
22-Feb-18,3052,3079,3022.5,3050.2,1731505
23-Feb-18,3050,3089,2992.1,3075.8,1681250
26-Feb-18,3075,3089.95,3021.2,3031.7,681941
27-Feb-18,3041,3078.55,3032,3042.35,858900
28-Feb-18,3035,3063.95,3021.45,3035.05,1353432
1-Mar-18,3049,3061.2,3020,3037.7,859062
5-Mar-18,3049,3113.65,3032.95,3105.85,1429084
6-Mar-18,3122,3127,3030.15,3042.8,953382
7-Mar-18,3070,3089,3018.5,3027.45,958886
8-Mar-18,3054.9,3054.9,2987.5,3003.95,975913
9-Mar-18,3005,3063.2,2977.2,3034.1,936218
12-Mar-18,3043,3083.9,3035.5,3052.15,1045670
13-Mar-18,2924.9,2939.7,2872,2886.8,44033577
14-Mar-18,2892.95,2923.05,2875.05,2886.9,1834334
15-Mar-18,2895,2902.55,2855.6,2869.7,1174453
16-Mar-18,2868.8,2872,2805,2825.7,3598741
19-Mar-18,2829,2848,2820,2831,1744970
20-Mar-18,2820,2873.2,2819,2864.85,2012492
21-Mar-18,2872.5,2884.3,2850,2856.75,1953839
22-Mar-18,2859.95,2875.95,2822.55,2831.35,1163047
23-Mar-18,2802,2834.1,2798.05,2818.15,1827061
26-Mar-18,2819,2827.4,2781.55,2817,1482105
27-Mar-18,2825,2863,2823.05,2847.7,1247287
28-Mar-18,2835.9,2875,2825,2849.15,3432827
2-Apr-18,2840,2914,2840,2909.65,831494
3-Apr-18,2892.1,2929.9,2892.1,2911.25,968645
4-Apr-18,2929.45,2934,2892,2910.9,1420910
5-Apr-18,2926.55,2963.75,2920.35,2957.95,904712
6-Apr-18,2954,2960,2926.55,2950.3,564509
9-Apr-18,2939.7,2963.5,2915,2923.9,617933
10-Apr-18,2925.7,2957.25,2925.7,2937.6,592266
11-Apr-18,2950.6,3025,2945.6,3014.15,1562208
12-Apr-18,3010,3150,3007.95,3139.25,3057180
13-Apr-18,3150,3240.8,3132.1,3153.3,4089559
16-Apr-18,3116,3199.95,3110.75,3187.65,3135137
17-Apr-18,3187.65,3194.95,3147.2,3166.6,1650862
18-Apr-18,3166,3193.45,3145.85,3159.1,1216533
19-Apr-18,3179.9,3217.2,3165.75,3191.15,2410476
20-Apr-18,3250,3422.35,3240,3402.45,9232831
23-Apr-18,3424,3557.9,3389.55,3408.65,7592955
24-Apr-18,3410,3443.15,3342.5,3385.65,4157168
25-Apr-18,3385,3483,3365.05,3470.25,4098287
26-Apr-18,3467,3560,3467,3539.25,6067517
27-Apr-18,3525,3544,3420,3451.95,2250665
30-Apr-18,3451.95,3549,3437.6,3532.1,1729279
2-May-18,3530.5,3532.2,3471.3,3499.75,1579023
3-May-18,3509.8,3526,3470.4,3481.85,1880775
4-May-18,3492,3497,3470,3480.75,1173622
7-May-18,3490,3490,3410.9,3420.95,1742213
